"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","rt","stimulus","key_press","success","response","participant_response","agent_decision_1","agent_decision_2","beads_shown","button_pressed","Color"
"pavlovia","0","38","0.0-0.0","","","","","","","","","","","",""
"html-keyboard-response","1","1090","0.0-1.0","","1050.1999998092651","Welcome to the experiment. Press any key to begin.","32","","","","","","","",""
"html-keyboard-response","2","3733","0.0-2.0","","2639.399999856949","

        <p>This page contains the instructions for the experiment.</p>

        <p>Please read them carefully.</p>

        <p>There are 2 jars, each of which contains a different number of red and green beads.
         They look something like this:</p>

        <img src=""img/jar_40_60.png"" alt = ""6-4"" style=""width:10%"" float:""left"">
        <img src=""img/jar_60_40.png"" alt=""4-6"" style=""width:10%"" float:""right"">
        
        <p> The ratio of red:green in the left jar is 60 to 40 and this ratio for the right jar is 40 to 60. </p>

        <p>You will be given one of these jars at random. But, you won't know which jar it is you have been given, as it will be
        presented to you covered, so you can't see the contents of the jar. This would look something like this:</p>

        <p><img src=""img/jar_covered.png"" style=""width:20%""</p>

        <p>You will then draw random beads from the jar. You might draw something that looks like this:</p>

        <p><img src =""img/bead_samples/0.3.png""</p>

        <p>Based on these beads, your task is to guess, which jar these beads are drawn from. But you only need to state a confidence, using a confidence bar. The left circle indicates the jar with majority of red beads and the right circle is indication of the jar with majority of green beads. For instance, if you were strongly
        confident that the samples are drawn from the jar with majority of red beads, you might choose to place your guess on the confidence scale like
        so (note that the style of the slider you will see in the experiment might look different to that shown here,
        but that should not make a difference):</p>

        <p><img src=""img/agent_choices_piechart/5.png""></p>

        <p>If you think it could be a 50-50 chance of either red or green, you might choose to give a confidence like
        this:</p>

        <p><img src=""img/agent_choices_piechart/50.png""</p>

        <p>After you have taken a guess, the jars will be randomly shuffled, after which you will repeat
        the task.</p>

        <p>Let's do some practice trials, 3 in total. If you're ready to start, and feel that you understand the
         instructions, go ahead and press the 'space' key.</p>

        <p> &lt; Press 'space' to continue &gt; </p>

        ","32","","","","","","","",""
"fullscreen","3","6839","0.0-3.0","","","","","true","","","","","","",""
"html-keyboard-response","4","7649","0.0-4.0","","null","
            <img src='img/jar_covered.png'
            style=""position:absolute;
            top:50%;
            left:45%;
            height: 300px;
            margin-top:-233px;
            margin-left:-233px;""/>

            <img src='img/jar_covered.png'
            style=""position:absolute;
            top:50%;
            left:65%;
            height: 300px;
            margin-top:-233px;
            margin-left:-233px;""/>

            
            <p style=""position:absolute; top:90%; left:50%; transform: translate(-50%, -50%);"">New jar</p>
            ","null","","","","","","","",""
"html-keyboard-response","5","7658","0.0-5.0","","null","

                <img src=""img/jar_covered.png""
                 style=""position:absolute;
                 top:50%;
                 left:45%;
                 height:300px;
                 margin-top:-233px;
                margin-left:-233px;
                 ""/>

                 <img src=""img/jar_covered.png""
                 style=""position:absolute;
                 top:50%;
                 left:65%;
                 height:300px;
                 margin-top:-233px;
                margin-left:-233px;
                 ""/>
                 ","null","","","","","","","",""
"html-keyboard-response","6","7664","0.0-6.0","","null","

                <img src=""img/jar_covered.png""
                 style=""position:absolute;
                 top:50%;
                 left:46%;
                 height:300px;
                 margin-top:-233px;
                margin-left:-233px;
                 ""/>

                 <img src=""img/jar_covered.png""
                 style=""position:absolute;
                 top:50%;
                 left:64%;
                 height:300px;
                 margin-top:-233px;
                margin-left:-233px;
                 ""/>
                 ","null","","","","","","","",""
"html-keyboard-response","7","7675","0.0-7.0","","null","

                <img src=""img/jar_covered.png""
                 style=""position:absolute;
                 top:50%;
                 left:47%;
                 height:300px;
                 margin-top:-233px;
                margin-left:-233px;
                 ""/>

                 <img src=""img/jar_covered.png""
                 style=""position:absolute;
                 top:50%;
                 left:63%;
                 height:300px;
                 margin-top:-233px;
                margin-left:-233px;
                 ""/>
                 ","null","","","","","","","",""
"html-keyboard-response","8","7685","0.0-8.0","","null","

                <img src=""img/jar_covered.png""
                 style=""position:absolute;
                 top:50%;
                 left:48%;
                 height:300px;
                 margin-top:-233px;
                margin-left:-233px;
                 ""/>

                 <img src=""img/jar_covered.png""
                 style=""position:absolute;
                 top:50%;
                 left:62%;
                 height:300px;
                 margin-top:-233px;
                margin-left:-233px;
                 ""/>
                 ","null","","","","","","","",""
"html-keyboard-response","9","7694","0.0-9.0","","null","

                <img src=""img/jar_covered.png""
                 style=""position:absolute;
                 top:50%;
                 left:49%;
                 height:300px;
                 margin-top:-233px;
                margin-left:-233px;
                 ""/>

                 <img src=""img/jar_covered.png""
                 style=""position:absolute;
                 top:50%;
                 left:61%;
                 height:300px;
                 margin-top:-233px;
                margin-left:-233px;
                 ""/>
                 ","null","","","","","","","",""
